Hemp Protein Powder 50pct, Bulk Barn|Energy (kcal)|0.39
Hemp Protein Powder 50pct, Bulk Barn|Total lipid (fat)|11
Hemp Protein Powder 50pct, Bulk Barn|Fatty acids, total saturated|1.5
Hemp Protein Powder 50pct, Bulk Barn|Fatty acids, total trans|0
Hemp Protein Powder 50pct, Bulk Barn|Cholesterol|0
Hemp Protein Powder 50pct, Bulk Barn|Sodium, Na|0
Hemp Protein Powder 50pct, Bulk Barn|Carbohydrate, by difference|24
Hemp Protein Powder 50pct, Bulk Barn|Fiber, total dietary|17
Hemp Protein Powder 50pct, Bulk Barn|Sugars, total|4
Hemp Protein Powder 50pct, Bulk Barn|Protein|49
Hemp Protein Powder 50pct, Bulk Barn|Vitamin A, IU|0
Hemp Protein Powder 50pct, Bulk Barn|Vitamin C, total ascorbic acid|0
Hemp Protein Powder 50pct, Bulk Barn|Calcium, Ca|120
Hemp Protein Powder 50pct, Bulk Barn|Iron, Fe|10
