Apples, raw, with skin|medium (3" dia)|medium
Bananas, raw|large (8" to 8-7/8" long)|large
Beverages, tea, herb, other than chamomile, brewed|cup (8 fl oz)|cup
Beets, cooked, boiled, drained|beets (2" dia, sphere)|medium
Cucumber, with peel, raw|cucumber (8-1/4")|medium
Lemons, raw, without peel|fruit (2-1/8" dia)|medium
Lettuce, cos or romaine, raw|cup shredded|cup, chopped
Kale, raw|cup 1" pieces, loosely packed|cup, chopped
Oil, olive, salad or cooking|tablespoon|tbsp
Peppers, sweet, green, raw|medium (approx 2-3/4" long, 2-1/2" dia)|medium
Peppers, sweet, red, raw|medium (approx 2-3/4" long, 2-1/2 dia.)|medium
Pomegranates, raw|cup arils (seed/juice sacs)|cup
Spices, cumin seed|tsp, whole|tsp
